id,operation,sub operation,specific location,department,title,description,immediate action taken,date of occurrence,issue_category,reporting_period,observation_category
99690,Angola,Field Facilities,Muconda_accomodation_fly_camp,Accommodation (Tented),Inadequate Lighting in Camp Areas,"Certain sections of the camp lack adequate lighting during the night, increasing the risk of trips, falls, and injuries, particularly due to exposed tree stumps and uneven terrain.","Install adequate lighting in all poorly lit areas of the camp to ensure safe movement during nighttime. Remove or mark hazards such as tree stumps, and conduct regular checks to ensure all lighting systems are functional.",2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99689,Angola,Field Facilities,Muconda_accomodation_fly_camp,Accommodation (Tented),Improper Disposal of Cigarette Butts,"Cigarette butts were found discarded in front of and behind tents, indicating that some employees are not using designated smoking areas.",Reinforce the use of designated smoking areas through continuous awareness and toolbox talks. Provide clearly marked disposal bins in smoking zones and enforce compliance through supervision and routine inspections.,2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99688,Angola,Field Facilities,Muconda_fly_camp,Accommodation (Company Owned),Poor Housekeeping Between Tents,"Safety boots and general waste (plastic pipes) were found scattered between tents. This messy condition can attract dangerous creatures and provide hiding places, especially during colder seasons. The area was cleaned and items properly arranged","Maintain strict housekeeping standards by ensuring all personal items are stored appropriately and waste is disposed of in designated areas. 
Assigned responsibility for cleanliness and conduct regular inspections to prevent recurrence.",2026-06-01T00:00:00.000Z,Environmental,Beginning,Negative Observation
99687,Angola,Field Facilities,Muconda_fly-camp,Accommodation (Tented),Tents Left Open (Pest/Animal Intrusion Risk),"Three (3) tents were found with door zips left open in the absence of occupants, creating easy access for snakes, scorpions, and other dangerous creatures. The tents were closed during the inspection.","Ensure all tent occupants keep entrances fully closed when not in use. 
Conduct awareness discussions with the affected occupants to reinforce the importance of this control measure. Include this in routine inspections to ensure ongoing compliance.",2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99685,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Damaged Kitchen Storage Shelves,The shelves in the kitchen storage area are broken and in poor condition.,"Assigned the maintenance team to repair or replace the damaged shelves without delay. 
Ensure that shelving units are structurally sound and capable of supporting the intended load. 
Redistribute stored items to reduce excessive weight on compromised shelves until repairs are completed. 
Implemented routine inspections of storage infrastructure to identify and address defects promptly, ensuring continued safety and proper food storage conditions.",2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99682,Angola,Company Offices,Muconda_fly-camp,Facility & Infrastructure,Water Filters,"Water filters require frequent servicing due to high levels of silt from the drying borehole, which can affect water quality.","Implement regular monitoring and servicing of water filters, increase replacement frequency, and consider installing pre-filtration systems to manage sediment levels. Maintain service records.",2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99680,Angola,Field Facilities,Muconda_fly_camp,Kitchen,Unsecured Gas Pipes,"Gas pipes connecting cylinders to the stove are not properly secured, increasing the risk of leaks and accidents.","Secure all gas pipes using appropriate clamps or brackets, inspect regularly for wear or leaks, and ensure compliance with gas safety standards.",2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99679,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,No Shade/Protection Over Sink Area,"The sink area is exposed, lacking shade and protection from flies, affecting user comfort and hygiene.",Install a shade net or covering over the sink area to provide protection from sun and to help reduce fly presence.,2026-06-01T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
99677,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Sink Area Without Concrete Slab,"The sink area lacks a concrete slab, resulting in poor hygiene, mud accumulation, and unstable footing.","Construct a concrete slab with proper slope to improve drainage, hygiene, and stability of the work area.",2026-06-01T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
99676,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Tripping Hazard – Exposed Electrical Cable,"An exposed electrical cable is temporarily covered by a block, which creates a tripping hazard and unsafe condition.",Remove the block and properly bury or reroute the cable through protective conduit. Ensure all cables are safely managed and eliminate temporary fixes.,2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99674,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Missing Fire Extinguisher Signage,"The fire extinguisher in the kitchen area does not have proper signage, making it less visible during emergencies.",Install compliant and clearly visible fire extinguisher signage and include this in regular safety inspections.,2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99673,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Non-Functional Fluorescent Lights,"Two fluorescent light bulbs in the kitchen are not functioning, leading to inadequate lighting conditions.",Replace the faulty bulbs immediately and implement a routine inspection schedule to maintain adequate lighting levels.,2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99671,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Broken Cupboard Door,"A cupboard door in the kitchen is broken, creating a risk of injury due to sharp edges or instability.",Repair or replace the cupboard door promptly. Inspect all storage units to ensure they are safe and fit for use.,2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99669,Angola,Field Facilities,Muconda_fly-camp_kitchen,Kitchen,Broken Chair,"A broken chair was identified in the kitchen area, posing a potential risk of injury to users due to its unstable condition. 
The chair has already been removed from the area to prevent use.","Ensure the broken chair is removed from service immediately
Dispose of or repair damaged furniture promptly.
Conduct routine inspections of kitchen furniture.",2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99668,Angola,Field Facilities,Muconda_fly_camp_kitchen,Kitchen,Flies in Kitchen,"A significant presence of flies was observed in the kitchen area, creating an unhygienic environment and increasing the risk of food contamination.","Improve general kitchen hygiene and waste management.
Ensure food items are always covered and stored properly",2026-06-01T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
99667,Angola,Field Facilities,Muconda_fly_camp,Kitchen,Unauthorized Access,"The distribution board (DB) box located near the kitchen is not barricaded or secured, allowing for potential unauthorized access. This condition presents a significant electrical hazard to personnel, including risk of electric shock or accidental contact with live components","Install a secure barricade or lockable enclosure around the DB box.
Place warning signage indicating “Authorized Personnel Only.”
Conduct regular inspections to ensure the barricade remains intact.",2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99665,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Poor Housekeeping in Storage Tent,"Fuel materials, including diesel containers and coal, were found stored in a disorganized manner within the storage area. This condition increases the risk of fire, spills, and unsafe handling practices.","Immediately reorganize the storage tent to ensure safe and orderly arrangement of materials.
Segregate flammable substances (diesel, coal) from other items and store them in designated areas.
Ensure proper ventilation within the storage tent.
Conduct regular inspections to maintain compliance with safety standards.",2026-06-01T00:00:00.000Z,Safety,Beginning,Negative Observation
99664,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Inadequate Water Drainage,"The washing/kitchen area has inadequate water drainage due to insufficient slope, resulting in stagnant water accumulation. This creates an unhygienic environment, produces unpleasant odors, and promotes the breeding of mosquitoes and flies, increasing potential health risks.","Regrade the washing area to create adequate slope for proper water flow.
Install suitable drainage channels or soak-away systems.
Regularly remove stagnant water and disinfect affected areas.",2026-06-01T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
99663,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Poor Housekeeping Around Washing Area,"The washing area, including the vicinity of machines, pumps, and hoses, was found to be poorly maintained with visible clutter and disorganization. 
This condition creates an unsafe working environment, increasing the risk of slips, trips, and falls, and reflects inadequate hygiene standards.",Conduct immediate cleaning and removal of clutter around the washing area and properly arrange pumps and hoses to eliminate obstruction and trip hazards.,2026-06-01T00:00:00.000Z,Health / Hygiene,Beginning,Negative Observation
99662,Angola,Company Offices,Muconda_fly_camp,Facility & Infrastructure,Hazardous observation,"Only three (3) machines available; one (1) is not working, one (1) reserved for management, leaving only one (1) for the workforce.","Repair the non-functional washing machine immediately or increase the number of washing machines based on workforce size and demand.
",2026-06-01T00:00:00.000Z,Other,Beginning,Negative Observation
99617,Angola,Transport Activities,Muconda Project,Light Vehicles,Safe trip from Saurimo to Mucond,A driver reported a safe trip from Saurimo to Muconda and back.,repotrted during the toolbox meeting.,2026-05-19T00:00:00.000Z,Other,Mid-Month,Negative Observation
99616,Angola,Field Facilities,Muconda house,Accommodation (Third Party),water failure early morning,"During the early hours of the day, a lack of tap water was identified in the residences.",The maintenance team promptly detected a pipe leakage and carried out the necessary repairs.,2026-05-19T00:00:00.000Z,Other,Mid-Month,Negative Observation
99615,Angola,Field Facilities,Muconda Project,Accommodation (Tented),Forest fires,Forest fires have already been observed along the woodlands.,the observaton was mentioned during the toolbox talks of the following day.,2026-05-22T00:00:00.000Z,Safety,End-Month,Negative Observation
99476,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),A snake trail/track spotted while doing security patrol around the camp.,A snake trail/track spotted while doing security patrol around the camp.,"The team onsite alerted of the active presence of dangerous reptiles around the camp, before they go for hibernation as winter season creeps in.",2026-05-28T00:00:00.000Z,Safety,End-Month,Negative Observation
99475,Angola,Field Activities,Luena Moxico,Airborne Geophysics,Good observation,"Survey aircraft and medevac helicopter at the airport, both arrived yesterday.",Congratulation the team,2026-05-28T00:00:00.000Z,Other,End-Month,Positive Observation
99474,Botswana,Field Facilities,Tsabong Field Camp.,Accommodation (Company Owned),A broken air conditioner condenser drain line identified by office building block.,A broken air conditioner condenser drain line identified by office building block.,The issue logged with Operation Support team. The air conditioner switched off as the office is currently not in use.,2026-05-24T00:00:00.000Z,Other,End-Month,Negative Observation
99473,Angola,Field Activities,Lucapa,Airborne Geophysics,Good obervation,Vehicle with tank for jet fuel is leaving Lucapa now for Saurimo airport now,Well done team and congratulation,2026-05-28T00:00:00.000Z,Safety,End-Month,Positive Observation
99472,Botswana,Field Facilities, Tsabong Field Camp,Accommodation (Company Owned),Timely and safely closure of the ceiling pane that was reported to have fallen from the coreshed office building.,Timely and safely closure of the ceiling pane that was reported to have fallen from the coreshed office building. The incident was reported while the Operation Support team was away in Gaborone. The team safely closed the incident by putting back the fallen pane.,This was communicated with DBHB employees.,2026-05-21T00:00:00.000Z,Other,End-Month,Negative Observation
99418,Angola,Field Facilities,Muconda flycamp site,Accommodation (Tented),awareness of cases of flu,Some colleagues showed flu symptoms during the camp. This situation is due to the constant weather changes observed in the area.,Everyone was informed and advised to take preventive measures.,2026-05-18T00:00:00.000Z,Other,Mid-Month,Negative Observation
99401,RSA Support Services,IML,-,Workshops,Shelves at spares storeroom full of dust,Shelves at spares storeroom full of dust,Remus to arrange for the stores to be cleaned quarterly,2026-05-26T00:00:00.000Z,Other,End-Month,Negative Observation
99089,RSA Support Services,Support Services, Fishbowl conference room,Offices & Recreation,Meeting room light left on,Light was left on in meeting room for an unknown period - this is a room without the automatic light sensors.,Light switched off.,2026-05-18T00:00:00.000Z,Other,Mid-Month,Negative Observation
98953,Botswana,Field Facilities, Tsabong Field Camp.,Accommodation (Company Owned),A bird found dead within the Office block.,A bird found dead within the Office block during patrol by Security Officer.,It was removed so that it does not attract other creatures that might feed on it.,2026-05-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
98952,Angola,Sample Processing,Muconda Project - Drill site,Facility & Offices,Good housekeeping,Good housekeeping was identified at the drill site operated by Mitchell Company.,The team managers were informed accordingly.,2026-05-13T00:00:00.000Z,Safety,Mid-Month,Positive Observation
98926,Angola,Transport Activities,"Muconda Project, Lunda-Sul",Light Vehicles,The kitchen staff at the fly camp demonstrated commendable performance.,"Despite being a small team, they are delivering outstanding results.",They were acknowledged during the toolbox talks held this week.,2026-05-13T00:00:00.000Z,Other,Mid-Month,Negative Observation
